2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.77067612378204,-8.05625553937113,-9.24418641008733,-10.778245180802,-12.2633737947276,-14.7516481180179,-16.4173076539088,-19.540361429282,-21.4165425840038,-23.68166595,NaN,NaN
NaN,NaN,NaN,NaN,-1.002433388,-1.1076240405,-1.88880550978204,-2.74999081678204,-3.85480550978204,-4.77949081678204,-5.69649081678204,-6.91608347028204,-7.726433388,-9.21157131437267,-10.0865263429724,-12.0456564417209,-14.280676124282,-16.583861429282,-19.237768774282,-21.279753609282,-23.85272821,-26.3073934852619,NaN
NaN,NaN,NaN,-0.435305509782041,-0.631337461097669,-1.18168146928204,-1.9191240405,-2.71699081678204,-3.7936240405,-4.77386677628204,-5.78086877686376,-6.90016762062811,-8.32049167962448,-9.34926626078706,-10.3563915560656,-12.1986128906829,-13.584117625,-16.098861429282,-19.03204298,-21.1753668650073,-23.801956005351,-28.3106709670665,NaN
NaN,NaN,0.431751919,-0.0325378266249999,-0.78486594399573,-1.21518146928204,-2.00030550978204,-2.819433388,-4.20878703078204,-4.90849081678204,-5.79369942583528,-7.09417612378204,-8.27447448028204,-9.34317612178204,-10.614176124282,-11.985345625,-14.002676124282,-15.714361429282,-18.426436944282,-20.9111365589021,-24.174601895,-27.4721456,NaN
NaN,NaN,0.2723759595,-0.188710534340036,-0.797548245564083,-1.29819896966596,-2.1861870605,-2.8938093475,-4.11789816328204,-5.0798093475,-5.99013438220816,-7.27367612378204,-8.37537801489691,-9.34278168383827,-10.691676124282,-12.049604844282,-13.8788498252006,-15.0918281966285,-18.569861429282,-21.701750465,-24.14190838,-27.2305272183995,NaN
NaN,0.531637061435917,-0.0663629385640827,-0.386996167867856,-1.12786677628204,-1.6711150925,-2.3715228985,-3.1931639775,-4.3697909815,-5.283917684,-6.60719777428204,-7.69267612378204,-8.79349081828204,-9.99567612178204,-11.483176124282,-12.862361429282,-14.8346081965452,-15.5397072996319,-18.9172128343291,-20.7573451228043,-23.6298287944387,-23.8103172525273,NaN
0.0618185307179586,0.0497860531749424,-0.321681469282041,-0.860681469282041,-1.4823093475,-2.151633915,-3.01622544089141,-3.8913093475,-5.0818093475,-6.26477177682016,-7.56099081678204,-8.62917612178204,-9.70658346828204,-10.9775822812209,-12.359176124282,-13.930861429282,-15.818861429282,-17.8799839382806,-19.8230460254679,-21.6393927821711,-23.7802786647806,-23.749813320886,-25.4356557259417
-0.0176814692820413,-0.0951814692820414,-0.611300625627931,-1.13530550978204,-2.02590731,-2.783696104,-3.5742852885,-4.7184961,-6.01574051459134,-7.22725061760996,-8.43609735791359,-9.55717612178204,-10.828676124282,-11.947040995712,-13.322176124282,-15.103361429282,-16.435361429282,-18.2728530824,-20.4087010914584,-23.088483185,-25.6885823,-24.9010055712212,-29.2287293340281
